label,black_pixels,regions
elk-sedge,2958,1
joy,2276,3
serpent,2400,1
need,1623,1
wealth,2905,1
bow,3834,2
wealth,2816,1
bow,3832,2
need,2474,1
serpent,2544,1
gift,2361,1
ash,2227,1
serpent,3422,1
serpent,6192,2
tyr,1859,1
serpent,2444,1
elk-sedge,2977,1
ash,2249,1
joy,2106,2
bow,4540,5
gift,2914,2
joy,2906,2
wealth,2398,1
gift,2689,1
ash,2404,1
elk-sedge,4272,2
ash,2354,1
wealth,2615,1
serpent,2569,1
need,2308,1
oak,2671,1
tyr,2197,1
bow,4438,4
gift,2844,1
need,1853,1
spear,6525,3
ash,1850,1
spear,2698,3
oak,2068,3
joy,2104,2
oak,2448,1
joy,2411,2
need,2301,1
spear,4038,3
serpent,2313,1
wealth,2604,1
gift,2680,1
joy,1352,2
spear,4084,3
elk-sedge,2657,1
gift,1873,1
bow,3432,2
gift,1571,1
need,2381,1
need,1675,1
elk-sedge,3858,1
bow,3031,2
serpent,2434,1
elk-sedge,3178,1
joy,2220,2
joy,2280,2
serpent,2246,1
spear,4244,3
spear,4505,3
serpent,1977,1
spear,4740,5
elk-sedge,2243,1
need,1972,1
tyr,1742,1
elk-sedge,3032,1
gift,1848,1
wealth,2743,1
joy,2110,2
wealth,2610,1
gift,2451,1
tyr,4920,1
oak,2520,1
spear,4263,3
gift,810,1
gift,3128,1
ash,2364,1
oak,2484,2
gift,2304,1
oak,3036,1
wealth,2478,1
tyr,3032,1
ash,1876,1
ash,2301,1
serpent,5015,1
bow,7486,3
oak,3065,1
bow,3720,2
wealth,2424,1
tyr,2786,1
need,2012,1
sun,2433,1
need,2236,1
spear,3760,3
joy,2333,2
spear,4287,3
spear,4740,3
bow,4334,2
bow,4677,2
wealth,3117,1
gift,1596,1
bow,3161,2
gift,1203,1
need,1875,1
wealth,5907,2
wealth,2532,2
spear,4783,4
serpent,2531,1
sun,1905,1
ash,1402,2
ash,1396,1
oak,2894,1
bow,3167,2
serpent,2504,1
bow,3638,2
ash,2001,1
serpent,3430,1
elk-sedge,2164,1
wealth,2529,1
serpent,1676,2
tyr,2698,1
elk-sedge,2185,1
wealth,1739,1
need,2996,1
wealth,2173,1
spear,2901,3
oak,2564,1
gift,2368,1
ash,2256,1
oak,2936,2
serpent,2399,1
need,1928,1
joy,1677,2
gift,2212,1
gift,3975,1
spear,3918,3
gift,5830,2
gift,3007,1
sun,4124,1
gift,2695,1
sun,2487,1
ash,1644,1
gift,2579,1
spear,3425,3
wealth,2529,1
joy,3031,2
bow,5728,3
wealth,2302,1
ash,2700,1
joy,1844,2
tyr,2336,1
spear,5058,3
serpent,2855,1
serpent,1765,1
ash,4449,1
wealth,2964,1
need,4284,2
oak,2766,1
need,2219,1
ash,1939,1
ash,2708,2
spear,3708,3
serpent,2635,1
bow,3903,2
tyr,2482,1
wealth,1469,1
gift,2950,1
serpent,1960,1
wealth,2264,1
wealth,3517,1
spear,4036,3
spear,2796,3
gift,3227,1
tyr,2347,1
spear,4262,4
gift,2298,1
need,2174,1
elk-sedge,2053,1
gift,2111,1
wealth,2627,1
tyr,2462,1
need,1758,1
tyr,2125,1
tyr,2726,1
ash,1984,1
ash,2402,1
spear,5580,3
bow,3156,2
joy,3359,2
gift,4558,1
elk-sedge,3903,1
tyr,1761,1
joy,2182,2
spear,3729,3
joy,2443,2
ash,2586,1
gift,2315,1
gift,3548,1
joy,1550,2
elk-sedge,1196,1
serpent,2704,1
gift,5849,2
tyr,2412,1
gift,3195,1
oak,2653,1
ash,2592,1
ash,2680,2
joy,1653,2
spear,4631,4
ash,1780,1
bow,4183,2
oak,2736,1
oak,3253,1
serpent,2738,1
spear,4579,3
ash,3688,1
joy,1761,2
gift,2737,1
ash,3395,1
tyr,2223,1
spear,4568,3
ash,1630,1
sun,1825,1
tyr,2498,1
need,1763,1
joy,3294,2
oak,2884,1
oak,3129,1
bow,3457,2
ash,1659,1
oak,2855,1
spear,8296,7
tyr,2062,1
elk-sedge,2619,1
sun,2528,1
serpent,2904,1
ash,2877,1
spear,4204,3
wealth,1432,1
wealth,2326,1
joy,2165,2
sun,1753,1
joy,2540,2
spear,4763,3
need,1288,1
bow,2036,2
need,2012,1
need,2358,1
spear,3419,3
need,2318,1
spear,3936,3
ash,3392,1
need,3637,1
need,2179,1
ash,1696,1
elk-sedge,3767,1
need,2249,1
ash,2327,1
elk-sedge,2984,1
spear,4593,3
serpent,2781,1
serpent,2636,1
ash,3593,1
need,1818,1
gift,2997,2
joy,1970,2
sun,2364,1
spear,4498,2
bow,3654,2
elk-sedge,3710,1
bow,16384,0
sun,806,1
ash,2064,1
serpent,2547,1
ash,1651,1
spear,3903,3
