label,area,area_filled,area_convex,axis_major_length,axis_minor_length,eccentricity,equivalent_diameter_area,extent,feret_diameter_max,perimeter,solidity,holes,h_sym_err_percent,v_sym_err_percent,pixelsum_tl,pixelsum_tm,pixelsum_tr,pixelsum_ml,pixelsum_mm,pixelsum_mr,pixelsum_bl,pixelsum_bm,pixelsum_br
spear,7145.0,7557.0,13211.0,136.57294071783733,111.3949199234641,0.5785539069218374,95.37974914588912,0.46468522372528615,166.35203635663737,845.3696244092001,0.5408371811369314,2,0.45330385015608743,0.39789281997918835,0,0,28,83,84,88,48,49,47
elk-sedge,4451.0,4451.0,9177.0,135.10678441116465,100.47366164868393,0.6685567659039031,75.28073600607402,0.2894771071800208,138.06158046321215,540.0904037956216,0.485016890051215,0,0.24037460978147762,0.14854318418314255,0,0,20,38,35,33,21,21,21
elk-sedge,5913.0,5914.0,9718.0,129.18521830525293,102.02586354735921,0.6134105250144444,86.76788246822102,0.384560353798127,133.77593206552515,502.5929291125633,0.608458530561844,1,0.3743496357960458,0.15088449531737774,0,0,20,84,77,73,28,28,28
ash,6877.0,6877.0,11196.0,148.68229837830492,111.2155402498693,0.6636897742243641,93.57386573794905,0.44725546305931324,153.00326793895613,695.1370849898476,0.6142372275812791,0,0.3136056191467222,0.511576482830385,0,0,27,69,57,49,30,30,30
tyr,3835.0,3835.0,9156.0,133.58798463031675,97.45953126779793,0.6839241492825401,69.8775618783265,0.2494146722164412,125.02799686470227,545.4802307403552,0.41885102664919177,0,0.22645681581685745,0.10991155046826223,0,0,7,34,27,17,20,20,17
elk-sedge,4628.0,4628.0,9127.0,130.55717366922815,105.1309906254709,0.5929372457301075,76.76296381090515,0.3009885535900104,139.08630414242805,533.4041122946064,0.5070669442314013,0,0.2558532778355879,0.125,0,0,14,57,53,51,21,21,21
need,4619.0,4619.0,8918.0,134.48450045628408,77.76327404292029,0.8158722177982035,76.68828761376614,0.3004032258064516,135.6502856613284,518.79393923934,0.5179412424310383,0,0.22502601456815816,0.30332986472424556,0,0,18,48,44,44,25,25,25
spear,7281.0,8050.0,13947.0,137.65902152104698,120.67674632564382,0.4811555826910262,96.2832131018524,0.47353017689906346,168.43990026119107,889.1513703397204,0.5220477522047752,2,0.4161030176899064,0.28108740894901146,0,0,15,44,46,48,100,95,98
elk-sedge,4563.0,4563.0,9096.0,129.65941511928952,103.55829552838814,0.6017363868547815,76.22199185685551,0.29676118626430803,140.00357138301865,526.2914139223983,0.5016490765171504,0,0.3345473465140479,0.2294484911550468,0,0,14,61,57,55,21,21,21
spear,8438.0,9161.0,13112.0,131.72514161013294,117.90730827023516,0.4458633968815532,103.65131585501123,0.548777315296566,157.74663229368798,782.6072144624362,0.6435326418547895,2,0.4017950052029136,0.30085848074921956,0,0,29,100,99,101,70,65,60
need,5145.0,5145.0,9004.0,137.54581269767237,73.8512493610669,0.8436324614295551,80.93712039393552,0.3346123829344433,133.33041663476493,527.0365799264594,0.5714127054642382,0,0.3488553590010406,0.34755463059313213,0,0,20,69,66,64,51,43,29
wealth,6363.0,6363.0,10209.0,147.25425159378418,95.9699446505103,0.7584514589453627,90.00901745464084,0.4138267429760666,149.57606760441325,669.1614716074871,0.6232735821334117,0,0.38540582726326744,0.48660249739854317,0,0,20,88,85,87,25,25,25
serpent,5977.0,5977.0,11604.0,115.54149568473815,108.40087384561089,0.346097264185705,87.236189502305,0.3887226847034339,138.31124321616085,713.0609665440988,0.5150810065494656,0,0.3362382934443288,0.24102497398543185,0,0,15,88,82,82,45,43,43
joy,6521.0,7213.0,9984.0,145.3897405190639,97.55661574780062,0.7414567271662382,91.11967444640041,0.42410249739854317,146.01369798755184,615.0782104868019,0.653145032051282,1,0.3076222684703434,0.5448751300728408,0,0,22,99,102,103,31,31,31
oak,7065.0,7065.0,12049.0,155.369223494363,104.67636411818819,0.7389807810920295,94.84427965646597,0.4594823100936524,166.97305171793442,704.7350647362944,0.5863557141671508,0,0.31087408949011447,0.5150884495317378,0,0,21,77,74,74,91,87,82
gift,6537.0,6537.0,12136.0,151.46384700953453,97.19292328185385,0.7669636264123327,91.23139209687507,0.42514308012486995,169.11830178901394,639.7888886054566,0.5386453526697429,0,0.31152445369406867,0.356789802289282,0,0,15,63,62,62,62,60,59
need,7229.0,7229.0,10775.0,128.2476160394037,92.6264632850581,0.6916351554681133,95.9387756274307,0.47014828303850154,138.31124321616085,512.9949493661167,0.6709048723897911,0,0.3417013527575442,0.3422216441207076,0,0,25,45,45,45,90,90,90
ash,5175.0,5175.0,10472.0,153.20013876549845,105.11808625147219,0.7274612499246123,81.17274569709015,0.33656347554630595,157.8923684032892,678.1492782986674,0.49417494270435447,0,0.3364984391259105,0.42234651404786683,0,0,31,38,38,42,21,23,23
wealth,4454.0,4454.0,9180.0,152.07044998048192,86.43795249847008,0.8227473194476529,75.30610156056689,0.28967221644120705,154.01298646542764,672.0071426749364,0.48518518518518516,0,0.39919354838709675,0.35913111342351717,0,0,6,53,53,56,18,18,18
need,6481.0,6481.0,10030.0,132.31992696510116,90.26833846609145,0.7311678435164086,90.83977922379925,0.4215010405827263,136.0588108135596,488.8355697996826,0.6461615154536391,0,0.2506503642039542,0.30137877211238295,0,0,27,33,51,55,69,71,72
bow,7441.0,9032.0,12820.0,158.6477059050421,119.7738030159674,0.6557626357526577,97.33537616085093,0.4839360041623309,168.3864602632884,916.0904037956216,0.580421216848674,1,0.42520811654526536,0.33909989594172735,0,0,28,45,45,43,62,62,60
elk-sedge,15376.0,15376.0,15376.0,143.17821063276352,143.17821063276352,0.0,139.91901671984357,1.0,174.6568063374571,492.0,1.0,0,0.0,0.0,0,0,124,124,124,124,124,124,124
spear,4483.0,4809.0,13381.0,130.0623896105846,118.8869089363292,0.4055429261495072,75.55086286104041,0.2915582726326743,161.83942659315127,838.8498551495553,0.33502727748299826,2,0.2529916753381894,0.3130853277835588,0,0,16,49,48,46,29,29,30
gift,5860.0,5860.0,13433.0,142.0963810890128,116.37894886917809,0.5737732984088382,86.37814383365767,0.3811134235171696,166.42415690037308,701.1025971044414,0.4362391126330678,0,0.20304370447450573,0.20096253902185224,0,0,19,55,55,56,56,57,60
ash,7476.0,7476.0,11441.0,143.59498408411878,113.18971966148219,0.6153464471877182,97.56402429399925,0.48621227887617063,154.01298646542764,683.0365799264594,0.6534393846691723,0,0.31568678459937566,0.5565816857440167,0,0,31,58,61,65,34,34,34
sun,7182.0,7182.0,11653.0,168.6426146605097,93.69689344174472,0.8314534594371817,95.62638971689739,0.46709157127991674,159.29846201391902,596.3086578651014,0.6163219771732601,0,0.4101196670135276,0.3994536940686785,0,0,24,58,64,69,76,74,73
need,4378.0,4378.0,9187.0,126.7687148060466,86.11524947073919,0.7338514769199125,74.66085136703533,0.28472944849115506,130.60245020672468,512.0660171779822,0.4765429411124415,0,0.21553069719042664,0.3950312174817898,0,0,17,55,60,60,24,23,23
serpent,4427.0,4427.0,9554.0,115.64779429499607,93.30782758335188,0.5907870089281742,75.07750305212984,0.2879162330905307,126.69648771769484,657.8650070512056,0.4633661293698974,0,0.21527055150884494,0.2782258064516129,0,0,20,20,31,40,20,20,20
elk-sedge,5449.0,5449.0,9566.0,131.4481159955762,104.54817736211048,0.6061412910520507,83.29395103644623,0.3543834547346514,142.52368224263643,515.6467529817256,0.569621576416475,0,0.3470343392299688,0.13345473465140478,0,0,25,64,60,58,23,23,23
oak,6237.0,6237.0,13529.0,149.46148715723714,121.9629656798672,0.5780293065866785,89.11338306064476,0.4056321540062435,172.53985046939155,753.4041122946064,0.4610096829033927,0,0.3980228928199792,0.42221644120707597,0,0,30,22,22,22,62,62,60
wealth,6140.0,6140.0,10692.0,157.3246740187873,94.2539311988512,0.8006707900563599,88.41770639794893,0.3993236212278876,159.3643623900902,713.9482681718907,0.5742611298166854,0,0.34300208116545267,0.4600676378772112,0,0,22,87,81,80,27,27,27
sun,5090.0,5091.0,10556.0,167.08611306407465,90.78181337059007,0.8395234146925982,80.5033495123152,0.3310353798126951,143.54441821262157,613.2792206135786,0.4821902235695339,1,0.35744016649323623,0.36030176899063476,0,0,19,24,24,24,45,35,26
oak,5782.0,5782.0,9861.0,160.6406097821017,91.58845385408623,0.8215440243398096,85.80134642101318,0.37604058272632673,173.25414857947845,638.7766952966368,0.5863502687354224,0,0.32297086368366285,0.4608480749219563,0,0,21,27,27,27,24,24,24
spear,6133.0,6752.0,14365.0,134.9475518866096,121.66461145742659,0.43263407389837605,88.36729105195401,0.3988683662851197,168.3864602632884,928.2051942088829,0.4269404803341455,2,0.2816077003121748,0.3380593132154006,0,0,12,62,68,74,41,39,39
spear,5997.0,6045.0,14331.0,135.24352962670574,122.48662595863577,0.4239735459291562,87.38202074670035,0.39002341311134237,171.14321488157222,765.8376618407357,0.4184634707975717,2,0.31477627471383973,0.35744016649323623,0,0,25,54,58,65,44,45,47
elk-sedge,4647.0,4647.0,9305.0,131.15398953474747,101.92749084032093,0.6293044072672178,76.92037548260085,0.3022242455775234,140.470637501223,554.0904037956217,0.49940891993551856,0,0.3176378772112383,0.15998959417273673,0,0,29,56,52,51,20,20,20
